OMRÅDE;CIVILSTAND;TID;INDHOLD
Region Hovedstaden;Married/separated;2008Q1;597034
Region Hovedstaden;Married/separated;2008Q2;595414
Region Hovedstaden;Married/separated;2008Q3;597048
Region Hovedstaden;Married/separated;2008Q4;602049
Region Hovedstaden;Married/separated;2009Q1;601967
Region Hovedstaden;Married/separated;2009Q2;600346
Region Hovedstaden;Married/separated;2009Q3;602083
Region Hovedstaden;Married/separated;2009Q4;606165
Region Hovedstaden;Married/separated;2010Q1;605647
Region Hovedstaden;Married/separated;2010Q2;603904
Region Hovedstaden;Married/separated;2010Q3;605601
Region Hovedstaden;Married/separated;2010Q4;609109
Region Hovedstaden;Married/separated;2011Q1;608334
Region Hovedstaden;Married/separated;2011Q2;606108
Region Hovedstaden;Married/separated;2011Q3;606982
Region Hovedstaden;Married/separated;2011Q4;609487
Region Hovedstaden;Married/separated;2012Q1;608353
Region Hovedstaden;Married/separated;2012Q2;605956
Region Hovedstaden;Married/separated;2012Q3;606640
Region Hovedstaden;Married/separated;2012Q4;609041
Region Hovedstaden;Married/separated;2013Q1;608649
Region Hovedstaden;Married/separated;2013Q2;606048
Region Hovedstaden;Married/separated;2013Q3;606221
Region Hovedstaden;Married/separated;2013Q4;610228
Region Hovedstaden;Married/separated;2014Q1;607429
Region Hovedstaden;Married/separated;2014Q2;604983
Region Hovedstaden;Married/separated;2014Q3;605156
Region Hovedstaden;Married/separated;2014Q4;607557
Region Hovedstaden;Married/separated;2015Q1;606672
Region Hovedstaden;Married/separated;2015Q2;605460
Region Hovedstaden;Married/separated;2015Q3;606212
Region Hovedstaden;Married/separated;2015Q4;609331
Region Hovedstaden;Married/separated;2016Q1;608339
Region Hovedstaden;Married/separated;2016Q2;606819
Region Hovedstaden;Married/separated;2016Q3;607577
Region Hovedstaden;Married/separated;2016Q4;611311
Region Hovedstaden;Married/separated;2017Q1;610441
Region Hovedstaden;Married/separated;2017Q2;608368
Region Hovedstaden;Married/separated;2017Q3;609943
Region Hovedstaden;Married/separated;2017Q4;614079
Region Hovedstaden;Married/separated;2018Q1;613238
Region Hovedstaden;Married/separated;2018Q2;611718
Region Hovedstaden;Married/separated;2018Q3;613468
Region Hovedstaden;Married/separated;2018Q4;617464
Region Hovedstaden;Married/separated;2019Q1;616347
Region Hovedstaden;Married/separated;2019Q2;615322
Region Hovedstaden;Married/separated;2019Q3;617193
Region Hovedstaden;Married/separated;2019Q4;620854
Region Hovedstaden;Married/separated;2020Q1;620156
